,className,Q22,labels,予測値,ニュートラル,ポジティブ,ネガティブ,,予測値
4965,A,対面の方が人に教えてもらいやすいなど、理解を深められそうだと感じた。,-1,2,0.02%,0.13%,99.86%,,ニュートラル:0
3300,A,メリットは学校に行ってプログミングをやらないといけない状況では無くなったつまり自分のパソコンで自由にプログミングを作成できる点。デメリットはなかったと思います。,1,1,0.20%,99.63%,0.16%,,ポジティブ:1
3430,A,理解が良いほうではないので、1年時はその場で友人やTAにわからない箇所を尋ねて身に付けていたが、それができなかったため非常に苦労した。,-1,2,1.74%,0.03%,98.23%,,ネガティブ:2
3765,A,自分のペースで進行できる,1,1,0.02%,99.96%,0.02%,,
3799,A,zoomでグループワークをするときに画面共有の機能でソースコードを見せることができて、とても分かりやすかったのがメリットだと感じた。授業の指示で少しわからないことがあってもメールしてまでも質問することではないと思ってしまったので、気軽に疑問を解決できないところはデメリットだと感じた。,1,1,0.19%,99.66%,0.15%,,
4002,A,zoomを用いて、グループワークを行うことで課題の共有が容易にできた。,1,1,0.06%,98.73%,1.21%,,
4227,A,グループワークをzoomでやるのはいいが回線が心配、たまに落ちるちゃんと顔が見えないので何をやってるか見えない,-1,2,0.30%,0.01%,99.70%,,
4358,A,グループワークができる,1,1,1.22%,95.08%,3.69%,,
5589,A,何回でも授業を見ることが出来るので、聞き逃しがないこと。,1,1,0.19%,92.69%,7.12%,,
5558,A,対面の時より他の人を上手く頼れず非常に課題に苦戦してしまいました,-1,2,0.03%,0.10%,99.87%,,
4378,A,特になし,0,0,99.83%,0.08%,0.09%,,
5453,A,ズームだとグループでの活動のとき、喋れなくなった,-1,2,0.05%,0.01%,99.94%,,
4440,A,オンライン講義では、動画（授業）を視聴した後、さらに自らインターネットなどを利用し知識を深める猶予が生まれるため、対面授業より理解を深めながら学ぶことが出来た。,1,1,2.30%,88.55%,9.15%,,
4543,A,グループワークも直接行うわけではなかったため、発言もしやすくスムーズに行えた。自分の好きな時間に好きなだけプログラムに取り組むことが出来たため、対面の時のように授業内で焦って取り組むようなことが無く、理解もしやすかった。TA / SAの方にメールで質問するため、気軽に聞くことが出来て良かった。直接質問しに行くのは少し勇気がいるため、この形式の方が自分にとっては非常に良かった。,1,1,0.05%,99.74%,0.21%,,
